name,sub1,sub2,sub3,sub4,sub5,sub6,sub7,sub8,sub9,sub10,sub11,sub12,sub13,sub14,sub15,sub16,sub17,sub18,sub19,sub20,sub21
GuangMing District,公明,,,,,,,,,,,,,,,,,,,,
BaoAn District,宝安中心,碧海,翻身,福永,沙井,石岩,松岗,桃源居,西乡,新安,,,,,,,,,,,
LongHua District,观澜,红山,龙华新区,龙华中心,梅林关,民治,上塘,,,,,,,,,,,,,,
NanShan District,白石洲,大学城,科技园,南山中心,南头,前海,蛇口,华侨城,后海,红树湾,深圳湾,西丽,,,,,,,,,
FuTian District,百花,竹子林,车公庙,福田保税区,华强北,华强南,景田,莲花,上下沙,上步,石厦,香梅北,香蜜湖,园岭,新洲,黄木岗,银湖,福田中心,皇岗,八卦岭,赤尾
LuoHu District,黄贝岭,百仕达,翠竹,春风路,地王,东门,洪湖,罗湖口岸,莲塘,螺岭,清水河,万象城,笋岗,新秀,梅林,布心,,,,,
LongGang District,坂田,布吉大芬,布吉关,布吉街,布吉石芽岭,布吉南岭,布吉水径,丹竹头,大运新城,横岗,龙岗宝荷,龙岗双龙,龙岗中心城,,坪地,平湖,,,,,
YanTian District,梅沙,沙头角,盐田港,,,,,,,,,,,,,,,,,,
PingShan District,坪山,,,,,,,,,,,,,,,,,,,,
DaPeng New District,大鹏半岛,,,,,,,,,,,,,,,,,,,,
